jahr;wert_mrd_eur;lesart;reihe;quelle_url;zugriff;archiv;anmerkung
2013;3,9;Grafik abgelesen;GDV Elementar (Bestand und Preise 2024);https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;S. 17, Bestand und Preise 2024, Balken Elementar ausgemessen · Maßstabsprobe gegen gedruckten Gesamtwert 10,1 passt (gemessen 10,10)
2014;1,2;Grafik abgelesen;GDV Elementar (Bestand und Preise 2024);https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;S. 17, Bestand und Preise 2024, Balken Elementar ausgemessen
2015;0,3;Grafik abgelesen;GDV Elementar (Bestand und Preise 2024);https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;S. 17, Bestand und Preise 2024, Balken Elementar ausgemessen
2016;2,0;Grafik abgelesen;GDV Elementar (Bestand und Preise 2024);https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;S. 17, Bestand und Preise 2024, Balken Elementar ausgemessen
2017;0,7;Grafik abgelesen;GDV Elementar (Bestand und Preise 2024);https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;S. 17, Bestand und Preise 2024, Balken Elementar ausgemessen
2018;1,0;Grafik abgelesen;GDV Elementar (Bestand und Preise 2024);https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;S. 17, Bestand und Preise 2024, Balken Elementar ausgemessen
2019;0,5;Grafik abgelesen;GDV Elementar (Bestand und Preise 2024);https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;S. 17, Bestand und Preise 2024, Balken Elementar ausgemessen
2020;0,4;Grafik abgelesen;GDV Elementar (Bestand und Preise 2024);https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;S. 17, Bestand und Preise 2024, Balken Elementar ausgemessen
2021;12,6;Grafik abgelesen;GDV Elementar (Bestand und Preise 2024);https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;S. 17, Bestand und Preise 2024, Balken Elementar ausgemessen · gedruckter Gesamtwert 14,9, Balkensumme 15,0 (Rundung der Teilwerte)
2022;0,3;Grafik abgelesen;GDV Elementar (Bestand und Preise 2024);https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;S. 17, Bestand und Preise 2024, Balken Elementar ausgemessen
2023;1,1;Grafik abgelesen;GDV Elementar (Bestand und Preise 2024);https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;vorläufig laut Broschüre · S. 17, Bestand und Preise 2024, Balken Elementar ausgemessen
2024;2,6;Grafik abgelesen;GDV Elementar (Bestand und Preise 2024);https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;2026-09-17;http://web.archive.org/web/20260107031605/https://www.gdv.de/resource/blob/193410/e09858f310a1f7b4d3c2135df59369ce/naturgefahrenreport-2025-datenservice-data.pdf;vorläufig laut Broschüre · S. 17, Bestand und Preise 2024, Balken Elementar ausgemessen
