id,beginn,lon,lat,dauer_h,sri_max
T5_Eta_000060,2001-05-14T18:50:00,7.2506,52.6055,2,2
T5_Eta_000061,2001-05-15T12:50:00,13.6556,52.5314,1,5
T5_Eta_000062,2001-05-15T13:50:00,14.0687,52.6531,1,7
T5_Eta_000063,2001-05-15T13:50:00,14.0153,53.4291,2,4
T5_Eta_000064,2001-05-15T11:50:00,13.5202,50.7787,4,6
T5_Eta_000065,2001-05-15T15:50:00,13.0202,53.9101,1,5
T5_Eta_000066,2001-05-15T14:50:00,13.5821,52.6469,2,6
T5_Eta_000067,2001-05-15T14:50:00,13.9481,53.3535,2,7
T5_Eta_000068,2001-05-15T15:50:00,13.8071,51.7042,2,5
T5_Eta_000069,2001-05-15T17:50:00,11.6629,48.1076,2,4
T5_Eta_000070,2001-05-15T17:50:00,13.9328,52.8411,2,3
T5_Eta_000071,2001-05-16T10:50:00,13.5239,54.0503,1,3
T5_Eta_000072,2001-05-24T12:50:00,10.6092,47.5843,1,7
T5_Eta_000073,2001-05-24T13:50:00,11.2259,47.4436,2,6
T5_Eta_000074,2001-05-24T16:50:00,7.6800,47.7393,2,7
T5_Eta_000075,2001-05-24T16:50:00,8.1525,47.7761,2,6
T5_Eta_000076,2001-05-31T09:50:00,10.2895,53.0956,1,8
T5_Eta_000077,2001-05-31T09:50:00,10.8112,53.7793,1,5
T5_Eta_000078,2001-05-31T10:50:00,12.4621,51.9567,1,2
T5_Eta_000079,2001-05-31T10:50:00,10.9471,53.3692,1,8
T5_Eta_000080,2001-05-31T11:50:00,12.9860,52.0276,1,5
T5_Eta_000081,2001-05-31T11:50:00,12.3035,53.8251,1,7
T5_Eta_000082,2001-05-31T10:50:00,12.7174,52.0014,2,4
T5_Eta_000083,2001-05-31T10:50:00,12.4790,52.1979,2,2
T5_Eta_000084,2001-05-31T09:50:00,10.8703,53.2136,3,3
T5_Eta_000085,2001-05-31T12:50:00,9.1041,52.5721,1,4
T5_Eta_000086,2001-05-31T11:50:00,10.8205,54.1629,2,4
T5_Eta_000087,2001-05-31T09:50:00,11.1407,53.9328,4,3
T5_Eta_000088,2001-05-31T12:50:00,12.6111,53.7911,2,5
T5_Eta_000089,2001-05-31T12:50:00,14.7479,51.6606,3,3
T5_Eta_000090,2001-05-31T13:50:00,13.2841,52.9700,3,5
T5_Eta_000091,2001-05-31T13:50:00,12.8882,53.2347,3,3
T5_Eta_000092,2001-05-31T13:50:00,13.4381,53.5038,3,2
T5_Eta_000093,2001-05-31T15:50:00,14.0100,53.0116,2,4
T5_Eta_000094,2001-05-31T14:50:00,13.6637,53.2865,3,4
T5_Eta_000095,2001-05-31T14:50:00,13.6140,53.3667,3,5
T5_Eta_000096,2001-05-31T13:50:00,13.2540,53.1100,4,6
T5_Eta_000097,2001-05-31T14:50:00,13.8378,53.4102,4,2
T5_Eta_000098,2001-05-31T15:50:00,14.0590,53.4273,6,5
T5_Eta_000099,2001-06-06T11:50:00,8.9625,52.0697,1,4
T5_Eta_000100,2001-06-06T12:50:00,8.7537,50.8385,1,3
T5_Eta_000101,2001-06-06T14:50:00,10.1654,48.3844,1,7
T5_Eta_000102,2001-06-06T14:50:00,11.3744,53.1295,1,7
T5_Eta_000103,2001-06-06T13:50:00,10.4181,48.2994,4,3
T5_Eta_000104,2001-06-06T17:50:00,11.0793,52.9425,1,5
T5_Eta_000105,2001-06-13T17:50:00,6.9680,50.6251,1,4
T5_Eta_000106,2001-06-14T13:50:00,11.6634,49.8674,2,3
T5_Eta_000107,2001-06-15T12:50:00,7.5251,53.5595,2,3
T5_Eta_000108,2001-06-15T14:50:00,9.4258,52.9122,1,8
T5_Eta_000109,2001-06-15T15:50:00,9.1137,52.7539,1,6
T5_Eta_000110,2001-06-15T15:50:00,9.0640,53.5345,1,5
T5_Eta_000111,2001-06-15T16:50:00,9.5740,53.7121,1,3
T5_Eta_000112,2001-06-15T15:50:00,8.9413,53.7160,2,4
T5_Eta_000113,2001-06-15T17:50:00,9.8239,53.7390,1,6
T5_Eta_000114,2001-06-15T15:50:00,9.6837,52.9915,3,8
T5_Eta_000115,2001-06-15T18:50:00,10.3056,53.2865,1,7
T5_Eta_000116,2001-06-15T17:50:00,10.1769,53.6868,2,3
T5_Eta_000117,2001-06-15T19:50:00,10.7586,53.4056,1,6
T5_Eta_000118,2001-06-15T20:50:00,9.8726,52.5330,1,4
T5_Eta_000119,2001-06-15T21:50:00,10.0292,52.8187,1,5
T5_Eta_000120,2001-06-15T17:50:00,10.2187,53.3215,6,4
T5_Eta_000121,2001-06-15T20:50:00,11.7110,54.0815,6,2
T5_Eta_000122,2001-06-15T18:50:00,11.3451,53.8605,9,7
T5_Eta_000123,2001-06-16T13:50:00,10.8836,51.4860,1,6
T5_Eta_000124,2001-06-16T13:50:00,7.1069,53.4782,2,3
T5_Eta_000125,2001-06-16T15:50:00,7.7461,53.3213,1,6
T5_Eta_000126,2001-06-16T15:50:00,7.9688,53.4915,1,8
T5_Eta_000127,2001-06-16T18:50:00,10.5800,53.1897,1,6
T5_Eta_000128,2001-06-16T19:50:00,10.6980,53.2931,1,6
T5_Eta_000129,2001-06-16T19:50:00,10.8584,53.3179,1,5
T5_Eta_000130,2001-06-16T19:50:00,11.0202,53.3771,1,6
T5_Eta_000131,2001-06-17T09:50:00,10.4918,53.1034,1,8
T5_Eta_000132,2001-06-17T09:50:00,12.3458,53.3713,1,4
T5_Eta_000133,2001-06-17T08:50:00,12.9813,52.3042,2,5
T5_Eta_000134,2001-06-17T08:50:00,12.7288,53.2394,2,5
T5_Eta_000135,2001-06-17T10:50:00,9.0858,52.7277,1,7
T5_Eta_000136,2001-06-17T10:50:00,10.6780,53.0156,1,6
T5_Eta_000137,2001-06-17T10:50:00,10.6971,53.2497,1,6
T5_Eta_000138,2001-06-17T10:50:00,10.7425,53.3362,1,4
T5_Eta_000139,2001-06-17T10:50:00,10.5739,53.6939,1,5
T5_Eta_000140,2001-06-17T11:50:00,7.1880,51.0950,1,7
T5_Eta_000141,2001-06-17T11:50:00,12.6146,52.3152,1,6
T5_Eta_000142,2001-06-17T11:50:00,12.6780,52.5902,1,6
T5_Eta_000143,2001-06-17T11:50:00,10.9352,52.9354,1,6
T5_Eta_000144,2001-06-17T11:50:00,12.2388,53.2956,1,5
T5_Eta_000145,2001-06-17T11:50:00,11.3766,53.5466,1,9
T5_Eta_000146,2001-06-17T11:50:00,14.2670,53.4531,1,6
T5_Eta_000147,2001-06-17T11:50:00,10.7224,53.7626,1,7
T5_Eta_000148,2001-06-17T11:50:00,10.8833,53.7177,1,6
T5_Eta_000149,2001-06-17T11:50:00,10.8099,53.7271,1,4
T5_Eta_000150,2001-06-17T10:50:00,14.1663,53.1093,2,6
T5_Eta_000151,2001-06-17T10:50:00,13.4647,53.1895,2,7
T5_Eta_000152,2001-06-17T12:50:00,7.4091,52.5840,1,6
T5_Eta_000153,2001-06-17T12:50:00,11.0720,52.7087,1,6
T5_Eta_000154,2001-06-17T12:50:00,10.1299,52.9225,1,6
T5_Eta_000155,2001-06-17T12:50:00,10.0582,52.9920,1,3
T5_Eta_000156,2001-06-17T12:50:00,11.8655,53.3818,1,10
T5_Eta_000157,2001-06-17T12:50:00,11.2934,53.6696,1,10
T5_Eta_000158,2001-06-17T12:50:00,11.4682,53.6323,1,6
T5_Eta_000159,2001-06-17T12:50:00,11.1163,53.6457,1,7
T5_Eta_000160,2001-06-17T11:50:00,11.6805,53.4722,2,9
T5_Eta_000161,2001-06-17T13:50:00,14.4872,52.0191,1,5
T5_Eta_000162,2001-06-17T13:50:00,10.0151,53.2436,1,7
T5_Eta_000163,2001-06-17T13:50:00,11.9048,53.5637,1,7
T5_Eta_000164,2001-06-17T13:50:00,9.2093,53.5793,1,6
T5_Eta_000165,2001-06-17T12:50:00,12.5614,52.7494,2,6
T5_Eta_000166,2001-06-17T14:50:00,12.2042,52.5333,1,7
T5_Eta_000167,2001-06-17T14:50:00,14.6094,52.5241,1,8
T5_Eta_000168,2001-06-17T14:50:00,13.8651,52.8786,1,4
T5_Eta_000169,2001-06-17T14:50:00,13.2697,52.9705,1,6
T5_Eta_000170,2001-06-17T14:50:00,13.0331,53.3955,1,7
T5_Eta_000171,2001-06-17T14:50:00,13.3138,53.4298,1,4
T5_Eta_000172,2001-06-17T14:50:00,9.3281,53.5019,1,7
T5_Eta_000173,2001-06-17T13:50:00,12.3906,52.7625,2,2
T5_Eta_000174,2001-06-17T13:50:00,13.5376,53.4740,2,4
T5_Eta_000175,2001-06-17T12:50:00,12.5078,52.4046,3,6
T5_Eta_000176,2001-06-17T12:50:00,12.4450,52.5187,3,6
T5_Eta_000177,2001-06-17T12:50:00,12.3383,52.6252,3,8
T5_Eta_000178,2001-06-17T12:50:00,11.5052,53.8059,3,6
T5_Eta_000179,2001-06-17T15:50:00,6.5328,51.5109,1,7
T5_Eta_000180,2001-06-17T15:50:00,13.2343,52.2872,1,4
T5_Eta_000181,2001-06-17T15:50:00,12.9916,52.4250,1,6
T5_Eta_000182,2001-06-17T15:50:00,13.1803,52.4707,1,8
T5_Eta_000183,2001-06-17T15:50:00,11.1372,52.5176,1,5
T5_Eta_000184,2001-06-17T15:50:00,11.3949,52.5660,1,5
T5_Eta_000185,2001-06-17T14:50:00,13.5974,52.9326,2,7
T5_Eta_000186,2001-06-17T14:50:00,13.5386,53.3434,2,6
T5_Eta_000187,2001-06-17T14:50:00,9.3990,53.6241,2,7
T5_Eta_000188,2001-06-17T15:50:00,13.4335,52.4445,2,7
T5_Eta_000189,2001-06-17T17:50:00,14.0790,52.3753,1,5
T5_Eta_000190,2001-06-17T16:50:00,13.4036,52.5755,2,6
T5_Eta_000191,2001-06-17T15:50:00,14.0486,52.4806,3,5
T5_Eta_000192,2001-06-17T12:50:00,13.8649,53.3917,6,5
T5_Eta_000193,2001-06-17T09:50:00,9.0877,53.7436,9,9
T5_Eta_000194,2001-06-17T19:50:00,14.5486,52.0594,1,3
T5_Eta_000195,2001-06-17T17:50:00,14.2368,52.7412,4,3
T5_Eta_000196,2001-06-17T12:50:00,14.0138,52.6728,9,7
T5_Eta_000197,2001-06-17T18:50:00,14.1839,52.7783,4,5
T5_Eta_000198,2001-06-17T10:50:00,14.3783,52.7260,12,4
T5_Eta_000199,2001-06-15T10:50:00,8.6893,53.7651,72,7
T5_Eta_000200,2001-06-18T10:50:00,13.0032,51.0803,2,4
T5_Eta_000201,2001-06-18T11:50:00,13.4269,51.0825,2,5
T5_Eta_000202,2001-06-18T15:50:00,8.2532,48.8649,1,4
T5_Eta_000203,2001-06-18T15:50:00,8.1882,48.8805,1,7
T5_Eta_000204,2001-06-19T00:50:00,11.9831,47.7227,1,4
T5_Eta_000205,2001-06-21T13:50:00,13.2942,53.3782,1,5
T5_Eta_000206,2001-06-21T13:50:00,13.7049,53.3980,1,8
T5_Eta_000207,2001-06-21T11:50:00,12.6390,53.0161,3,5
T5_Eta_000208,2001-06-27T09:50:00,7.1138,49.8105,2,3
T5_Eta_000209,2001-06-27T11:50:00,9.5215,48.1476,2,4
T5_Eta_000210,2001-06-27T13:50:00,8.3903,51.3902,1,7
T5_Eta_000211,2001-06-27T13:50:00,8.2524,51.3963,1,4
T5_Eta_000212,2001-06-27T12:50:00,8.2969,51.3284,2,5
T5_Eta_000213,2001-06-27T14:50:00,6.8050,50.9451,1,8
T5_Eta_000214,2001-06-27T14:50:00,6.9238,51.6281,1,6
T5_Eta_000215,2001-06-27T14:50:00,8.9930,51.9839,1,4
T5_Eta_000216,2001-06-27T15:50:00,8.5110,49.4965,1,3
T5_Eta_000217,2001-06-27T14:50:00,11.0341,47.6808,2,7
T5_Eta_000218,2001-06-27T16:50:00,10.2999,47.7452,1,5
T5_Eta_000219,2001-06-27T16:50:00,8.5256,48.1447,1,10
T5_Eta_000220,2001-06-27T16:50:00,8.9852,52.7440,1,7
T5_Eta_000221,2001-06-27T15:50:00,9.0614,52.5717,2,8
T5_Eta_000222,2001-06-27T14:50:00,7.0294,51.6918,3,5
T5_Eta_000223,2001-06-27T14:50:00,9.0959,52.3387,3,3
T5_Eta_000224,2001-06-27T17:50:00,7.8961,47.8961,1,6
T5_Eta_000225,2001-06-27T17:50:00,9.4893,48.6698,1,6
T5_Eta_000226,2001-06-27T16:50:00,7.6899,47.9916,2,3
T5_Eta_000227,2001-06-27T16:50:00,7.3060,52.4427,2,7
T5_Eta_000228,2001-06-27T15:50:00,7.6073,48.1071,3,9
T5_Eta_000229,2001-06-27T15:50:00,7.3810,51.8231,3,10
T5_Eta_000230,2001-06-27T18:50:00,8.2599,48.1649,1,7
T5_Eta_000231,2001-06-27T18:50:00,9.4871,48.8302,1,4
T5_Eta_000232,2001-06-27T18:50:00,7.7493,52.6101,1,3
T5_Eta_000233,2001-06-27T18:50:00,9.4755,53.4246,1,6
T5_Eta_000234,2001-06-27T17:50:00,7.8182,52.4213,2,3
T5_Eta_000235,2001-06-27T17:50:00,9.1303,53.2309,2,6
T5_Eta_000236,2001-06-27T18:50:00,9.4288,53.5982,2,8
T5_Eta_000237,2001-06-27T17:50:00,8.0470,52.8939,3,8
T5_Eta_000238,2001-06-27T14:50:00,7.7486,51.9620,6,5
T5_Eta_000239,2001-06-27T19:50:00,8.0682,53.2849,2,5
T5_Eta_000240,2001-06-27T18:50:00,8.2837,53.0459,3,2
T5_Eta_000241,2001-06-27T18:50:00,8.0751,53.1634,3,5
T5_Eta_000242,2001-06-27T15:50:00,8.7601,48.2999,6,3
T5_Eta_000243,2001-06-27T15:50:00,8.9496,48.7747,6,3
T5_Eta_000244,2001-06-27T21:50:00,11.3631,49.6005,1,7
T5_Eta_000245,2001-06-27T20:50:00,9.7774,49.6702,2,3
T5_Eta_000246,2001-06-27T19:50:00,9.2900,49.0741,3,3
T5_Eta_000247,2001-06-27T19:50:00,8.1957,53.3482,3,5
T5_Eta_000248,2001-06-27T19:50:00,9.9129,53.4781,3,5
T5_Eta_000249,2001-06-27T18:50:00,9.2023,48.9464,4,7
T5_Eta_000250,2001-06-27T16:50:00,9.1041,48.7426,6,7
T5_Eta_000251,2001-06-27T22:50:00,11.2112,49.7641,1,4
T5_Eta_000252,2001-06-27T21:50:00,9.9741,49.9000,2,8
T5_Eta_000253,2001-06-27T22:50:00,10.5905,50.4520,2,3
T5_Eta_000254,2001-06-28T12:50:00,8.9710,53.7076,1,4
T5_Eta_000255,2001-06-28T12:50:00,9.5584,53.7817,2,6
T5_Eta_000256,2001-06-28T14:50:00,10.4403,50.2310,1,4
T5_Eta_000257,2001-06-28T13:50:00,9.1239,53.4829,2,9
T5_Eta_000258,2001-06-28T13:50:00,9.3145,53.4496,2,3
T5_Eta_000259,2001-06-28T15:50:00,11.0612,54.2304,1,7
T5_Eta_000260,2001-06-28T13:50:00,10.5726,50.1706,3,5
T5_Eta_000261,2001-06-28T16:50:00,12.3552,49.7411,1,6
T5_Eta_000262,2001-06-28T16:50:00,10.1736,53.0352,1,9
T5_Eta_000263,2001-06-28T16:50:00,11.5379,53.8751,1,4
T5_Eta_000264,2001-06-28T15:50:00,9.7985,53.0611,2,7
T5_Eta_000265,2001-06-28T14:50:00,9.3649,53.0939,3,6
T5_Eta_000266,2001-06-30T04:50:00,7.4497,53.3921,4,4
T5_Eta_000267,2001-06-30T11:50:00,8.1169,52.4019,1,4
T5_Eta_000268,2001-06-30T12:50:00,8.7503,52.1189,1,3
T5_Eta_000269,2001-06-30T12:50:00,9.0818,52.3385,1,5
T5_Eta_000270,2001-06-30T12:50:00,8.7074,52.5242,1,6
T5_Eta_000271,2001-06-30T12:50:00,8.4379,52.5115,1,3
T5_Eta_000272,2001-06-30T12:50:00,9.5484,53.4249,1,5
T5_Eta_000273,2001-06-30T12:50:00,10.5366,54.1212,1,8
T5_Eta_000274,2001-06-30T11:50:00,8.2550,52.4737,2,5
T5_Eta_000275,2001-06-30T11:50:00,8.8274,52.7595,2,10
T5_Eta_000276,2001-06-30T13:50:00,6.8239,51.6592,1,6
T5_Eta_000277,2001-06-30T13:50:00,6.9433,51.7235,1,6
T5_Eta_000278,2001-06-30T12:50:00,8.2451,50.9843,2,3
T5_Eta_000279,2001-06-30T12:50:00,8.3836,51.2355,2,3
T5_Eta_000280,2001-06-30T12:50:00,8.2895,51.4829,2,4
T5_Eta_000281,2001-06-30T11:50:00,7.5544,51.1313,3,5
T5_Eta_000282,2001-06-30T11:50:00,8.5753,52.6262,3,4
T5_Eta_000283,2001-06-30T11:50:00,8.7602,53.0359,3,4
T5_Eta_000284,2001-06-30T10:50:00,8.6429,53.0864,4,2
T5_Eta_000285,2001-06-30T14:50:00,11.2987,47.4007,1,11
T5_Eta_000286,2001-06-30T14:50:00,10.8229,51.2461,1,5
T5_Eta_000287,2001-06-30T14:50:00,10.5559,52.6007,1,7
T5_Eta_000288,2001-06-30T14:50:00,10.4569,53.7381,1,6
T5_Eta_000289,2001-06-30T13:50:00,10.4241,52.2989,2,8
T5_Eta_000290,2001-06-30T13:50:00,9.6722,52.6883,2,3
T5_Eta_000291,2001-06-30T12:50:00,9.5930,53.3556,3,4
T5_Eta_000292,2001-06-30T14:50:00,10.6423,52.6520,2,3
T5_Eta_000293,2001-06-30T14:50:00,10.7522,53.7798,2,5
T5_Eta_000294,2001-06-30T13:50:00,8.9674,51.4243,3,6
T5_Eta_000295,2001-06-30T13:50:00,9.0298,51.6657,3,3
T5_Eta_000296,2001-06-30T12:50:00,7.1953,50.1284,4,8
T5_Eta_000297,2001-06-30T12:50:00,9.9432,52.8360,4,4
T5_Eta_000298,2001-06-30T16:50:00,6.6819,49.6252,1,7
T5_Eta_000299,2001-06-30T16:50:00,10.4671,50.2394,1,6
T5_Eta_000300,2001-06-30T16:50:00,6.7798,51.8386,1,6
T5_Eta_000301,2001-06-30T14:50:00,10.5662,53.2332,3,3
T5_Eta_000302,2001-06-30T14:50:00,10.4826,53.4769,3,2
T5_Eta_000303,2001-06-30T14:50:00,10.4694,53.5814,3,3
T5_Eta_000304,2001-06-30T13:50:00,9.2487,51.8054,4,2
T5_Eta_000305,2001-06-30T13:50:00,9.0541,51.7950,4,2
T5_Eta_000306,2001-06-30T13:50:00,9.3020,51.9264,4,5
T5_Eta_000307,2001-06-30T11:50:00,8.8437,51.8443,6,4
T5_Eta_000308,2001-06-30T11:50:00,8.7285,51.9461,6,5
T5_Eta_000309,2001-06-30T17:50:00,11.8559,50.8110,1,6
T5_Eta_000310,2001-06-30T17:50:00,7.2631,51.7249,1,3
T5_Eta_000311,2001-06-30T15:50:00,11.3758,53.1642,3,6
T5_Eta_000312,2001-06-30T12:50:00,9.0087,51.9237,6,3
T5_Eta_000313,2001-06-30T12:50:00,8.9072,52.0432,6,3
T5_Eta_000314,2001-06-30T17:50:00,11.9023,53.5202,2,3
T5_Eta_000315,2001-06-30T16:50:00,11.8149,53.2524,3,2
T5_Eta_000316,2001-06-30T16:50:00,11.7936,53.6790,3,3
T5_Eta_000317,2001-06-30T15:50:00,11.5770,53.4478,4,8
T5_Eta_000318,2001-06-30T19:50:00,11.5834,48.6231,1,3
T5_Eta_000319,2001-06-30T19:50:00,11.9018,49.3698,1,6
T5_Eta_000320,2001-06-30T19:50:00,12.2280,49.3791,1,7
T5_Eta_000321,2001-06-30T19:50:00,12.1032,49.4755,1,5
T5_Eta_000322,2001-06-30T16:50:00,11.5563,53.9532,4,6
T5_Eta_000323,2001-06-30T19:50:00,11.6550,48.2171,2,4
T5_Eta_000324,2001-07-05T15:50:00,14.0403,53.3932,2,7
T5_Eta_000325,2001-07-06T04:50:00,8.9789,53.9342,2,7
T5_Eta_000326,2001-07-06T04:50:00,8.8817,54.1861,3,8
T5_Eta_000327,2001-07-07T11:50:00,11.1500,48.2254,1,4
T5_Eta_000328,2001-07-07T11:50:00,11.1260,48.2678,1,6
T5_Eta_000329,2001-07-07T11:50:00,11.1902,48.3006,1,6
T5_Eta_000330,2001-07-07T12:50:00,11.5393,48.4804,1,3
T5_Eta_000331,2001-07-07T13:50:00,11.5981,49.5795,1,8
T5_Eta_000332,2001-07-07T13:50:00,13.0214,49.1942,2,5
T5_Eta_000333,2001-07-07T13:50:00,12.1724,48.8722,3,2
T5_Eta_000334,2001-07-07T13:50:00,12.2356,48.8537,3,2
T5_Eta_000335,2001-07-07T13:50:00,11.6798,49.0693,3,2
T5_Eta_000336,2001-07-07T13:50:00,12.2129,48.9051,4,3
T5_Eta_000337,2001-07-07T13:50:00,11.5848,48.9610,4,3
T5_Eta_000338,2001-07-07T18:50:00,10.2744,53.0176,1,5
T5_Eta_000339,2001-07-07T20:50:00,13.5924,51.7818,1,3
T5_Eta_000340,2001-07-07T19:50:00,13.3460,51.0941,2,3
T5_Eta_000341,2001-07-07T18:50:00,12.9520,50.7905,3,2
T5_Eta_000342,2001-07-07T18:50:00,13.1570,50.8093,3,4
T5_Eta_000343,2001-07-07T18:50:00,12.8750,50.8443,3,2
T5_Eta_000344,2001-07-07T17:50:00,12.9893,50.4213,4,4
T5_Eta_000345,2001-07-07T17:50:00,13.0337,50.6336,4,2
T5_Eta_000346,2001-07-07T17:50:00,13.5526,51.5248,4,3
T5_Eta_000347,2001-07-07T21:50:00,13.7865,52.0330,1,4
T5_Eta_000348,2001-07-07T21:50:00,10.5438,53.6506,1,6
T5_Eta_000349,2001-07-07T20:50:00,13.2697,51.7593,2,3
T5_Eta_000350,2001-07-07T20:50:00,13.4535,51.7871,2,2
T5_Eta_000351,2001-07-07T19:50:00,12.6767,51.0991,3,3
T5_Eta_000352,2001-07-07T16:50:00,12.7146,50.5155,6,7
T5_Eta_000353,2001-07-07T16:50:00,12.7364,50.9858,6,6
T5_Eta_000354,2001-07-07T22:50:00,9.8351,54.4632,1,7
T5_Eta_000355,2001-07-07T21:50:00,12.5040,51.9556,2,4
T5_Eta_000356,2001-07-07T19:50:00,12.0165,51.2619,4,2
T5_Eta_000357,2001-07-07T23:50:00,11.8685,52.9043,1,4
T5_Eta_000358,2001-07-07T18:50:00,11.8273,51.3174,6,2
T5_Eta_000359,2001-07-08T00:50:00,11.2166,53.1664,1,3
T5_Eta_000360,2001-07-07T19:50:00,12.4304,50.8916,6,2
T5_Eta_000361,2001-07-07T19:50:00,12.2932,51.0838,6,2
T5_Eta_000362,2001-07-08T01:50:00,10.8543,53.1530,1,5
T5_Eta_000363,2001-07-08T01:50:00,10.7265,53.2669,1,6
T5_Eta_000364,2001-07-07T18:50:00,10.9379,51.4511,9,4
T5_Eta_000365,2001-07-07T15:50:00,11.0340,51.9146,12,5
T5_Eta_000366,2001-07-07T19:50:00,11.9035,52.2373,9,8
T5_Eta_000367,2001-07-07T23:50:00,11.5355,52.8496,6,3
T5_Eta_000368,2001-07-08T05:50:00,11.4742,53.4321,1,7
T5_Eta_000369,2001-07-08T00:50:00,10.7485,52.9457,6,7
T5_Eta_000370,2001-07-07T21:50:00,11.3420,52.6706,9,3
T5_Eta_000371,2001-07-08T06:50:00,10.3941,53.3991,1,5
T5_Eta_000372,2001-07-08T06:50:00,10.0006,53.5390,1,4
T5_Eta_000373,2001-07-08T04:50:00,10.5605,52.8863,3,3
T5_Eta_000374,2001-07-07T19:50:00,10.2038,53.2607,12,6
T5_Eta_000375,2001-07-08T07:50:00,10.5187,53.9294,1,7
T5_Eta_000376,2001-07-08T06:50:00,9.9569,53.3738,2,3
T5_Eta_000377,2001-07-08T06:50:00,9.9275,53.4781,2,7
